onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	360	51	-3	E	-1	2	4	1	1	True	1.0	-4	1	1	1	1a	0	3/8	True	3	True			{	False	0		Ab.I{	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	1	1	1	True	False	False
0	360	56	-4	A	-1	2	4	1	1	True	1.0	-4	1	1	1	1a	0	3/8	True	3	True			{	False	0		Ab.I{	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	0	0	0	True	True	True
0	360	60	0	C	0	2	4	1	1	True	1.0	-4	1	1	1	1a	0	3/8	True	4	True			{	False	0		Ab.I{	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	4	4	4	True	False	False
60	60	32	-4	A	-1	2	4	2	1	True	1.25	-4	1	1	1	1a	1/4	1/16	False	1	False				False	0		Ab.I{	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	0	0	0	True	True	True
120	60	36	0	C	0	2	4	2	1	True	1.5	-4	1	1	1	1a	1/2	1/16	False	2	False				False	0		Ab.I{	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	4	4	4	True	False	False
180	60	39	-3	E	-1	2	4	2	1	True	1.75	-4	1	1	1	1a	3/4	1/16	False	2	False				False	0		Ab.I{	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	1	1	1	True	False	False
240	60	44	-4	A	-1	2	4	2	1	True	2.0	-4	1	1	1	1a	1	1/16	False	2	False				False	0		Ab.I{	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	0	0	0	True	True	True
300	60	32	-4	A	-1	2	4	2	1	True	2.25	-4	1	1	1	1a	5/4	1/16	False	1	False				False	0		Ab.I{	Ab	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	-4	-4	-4	0	0	0	True	True	True
360	60	34	-2	B	-1	2	4	2	1	True	2.5	-4	1	1	1	1a	3/2	1/16	False	1	True				False	1		V43	Ab	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-4	-4	-4	2	2	2	True	False	True
360	120	51	-3	E	-1	2	4	1	1	True	2.5	-4	1	1	1	1a	3/2	1/8	False	3	True				False	1		V43	Ab	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-4	-4	-4	1	1	1	True	True	False
360	120	55	1	G	0	2	4	1	1	True	2.5	-4	1	1	1	1a	3/2	1/8	False	3	True				False	1		V43	Ab	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-4	-4	-4	5	5	5	True	False	False
360	120	61	-5	D	-1	2	4	1	1	True	2.5	-4	1	1	1	1a	3/2	1/8	False	4	True				False	1		V43	Ab	I		V43	V		43			Mm7	False	False	(2, -1, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V43	V43, major		V43, major		V	-4	-4	-4	-1	-1	-1	True	False	False
