onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	8	57	3	A	0	4	2	2	1	True	1.0	0	1	1	1	1a	0	1	True	3	True			{	False	0	d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	1	1	1	True	False	False
2	2	50	2	D	0	4	2	2	2	True	1.5	0	1	1	1	1a	1	1/4	False	3	False				False	0	d.i{		d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	2	2	2	0	0	0	True	True	True
4	6	53	-1	F	0	4	2	2	2	True	2.0	0	1	1	1	1a	2	3/4	False	3	True				False	1	i6	III	d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
8	8	55	1	G	0	4	2	2	1	True	3.0	0	1	1	1	1a	4	1	False	3	True				False	2	V6(4)/III		d	i		V6(4)/III	V		6	4	III	M	True	True	(-3, -1, -2)	()	-2	-3	minor	minor	i	i, minor	V/III	III	III/i	III	False	V6/III	V6/III, minor		V6(4)/III, minor	III	III	2	2	-1	-1	-1	2	True	False	False
10	1	52	4	E	0	4	2	2	2	True	3.5	0	1	1	1	1a	5	1/8	False	3	True				False	3	V6/III		d	i		V6/III	V		6		III	M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V6/III	V6/III, minor		V6/III, minor	III	III	2	2	-1	2	2	5	True	False	True
11	1	50	2	D	0	4	2	2	2	True	3.75	0	1	1	1	1a	11/2	1/8	False	3	False				False	3	V6/III		d	i		V6/III	V		6		III	M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V6/III	V6/III, minor		V6/III, minor	III	III	2	2	-1	0	0	3	False	False	False
12	2	52	4	E	0	4	2	2	2	True	4.0	0	1	1	1	1a	6	1/4	False	3	False				False	3	V6/III		d	i		V6/III	V		6		III	M	True	True	(2, -1, -2)	()	-2	2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V6/III	V6/III, minor		V6/III, minor	III	III	2	2	-1	2	2	5	True	False	True
14	2	48	0	C	0	4	2	2	2	True	4.5	0	1	1	1	1a	7	1/4	False	3	True				False	4	V/III		d	i		V/III	V				III	M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	V/III	III	III/i	III	False	V/III	V/III, minor		V/III, minor	III	III	2	2	-1	-2	-2	1	True	True	True
16	4	53	-1	F	0	4	2	2	2	True	1.0	0	2	2	2	2a	8	1/2	False	3	True				False	5	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	-3	-3	-3	True	False	True
16	8	62	2	D	0	4	2	2	1	True	1.0	0	2	2	2	2a	8	1	False	4	True				False	5	i6		d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	2	2	2	0	0	0	True	True	False
20	4	55	1	G	0	4	2	2	2	True	2.0	0	2	2	2	2a	10	1/2	False	3	True				False	6	IV		d	i		IV	IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	2	2	2	-1	-1	-1	True	True	True
24	6	57	3	A	0	4	2	2	2	True	3.0	0	2	2	2	2a	12	3/4	False	3	True				False	7	v		d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	1	1	1	True	True	True
24	8	60	0	C	0	4	2	2	1	True	3.0	0	2	2	2	2a	12	1	False	4	True				False	7	v		d	i		v	v					m	True	True	(1, -2, 2)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v	v, minor		v, minor		v	2	2	2	-2	-2	-2	True	False	False
