onset_div	duration_div	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	is_note_onset	beat	ks_fifths	mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	duration	section_start	octave	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0	4	74	2	D	0	4	4	1	1	True	1.0	-1	1	1	1	1a	0	1/4	True	5	True			{	False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
4	2	74	2	D	0	4	4	1	1	True	2.0	-1	1	1	1	1a	1	1/8	False	5	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
6	2	74	2	D	0	4	4	1	1	True	2.5	-1	1	1	1	1a	3/2	1/8	False	5	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	1	1	1	True	False	False
8	3	70	-2	B	-1	4	4	1	1	True	3.0	-1	1	1	1	1a	2	3/16	False	4	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
11	1	69	3	A	0	4	4	1	1	True	3.75	-1	1	1	1	1a	11/4	1/16	False	4	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	2	2	2	False	False	False
12	2	67	1	G	0	4	4	1	1	True	4.0	-1	1	1	1	1a	3	1/8	False	4	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
14	2	70	-2	B	-1	4	4	1	1	True	4.5	-1	1	1	1	1a	7/2	1/8	False	4	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
16	2	69	3	A	0	4	4	1	1	True	1.0	-1	2	2	2	2a	4	1/8	False	4	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	2	2	2	False	False	False
18	2	67	1	G	0	4	4	1	1	True	1.5	-1	2	2	2	2a	9/2	1/8	False	4	False				False	0	g.i{		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
20	2	69	3	A	0	4	4	1	1	True	2.0	-1	2	2	2	2a	5	1/8	False	4	True				False	1	V6		g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	2	2	2	True	False	False
22	2	66	6	F	1	4	4	1	1	True	2.5	-1	2	2	2	2a	11/2	1/8	False	4	False				False	1	V6		g	i		V6	V		6			M	True	True	(5, 2, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V6	V6, minor		V6, minor		V	1	1	1	5	5	5	True	False	True
24	4	55	1	G	0	4	4	2	1	True	3.0	-1	2	2	2	2a	6	1/4	False	3	True				False	2	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
24	2	67	1	G	0	4	4	1	1	True	3.0	-1	2	2	2	2a	6	1/8	False	4	True				False	2	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
26	2	69	3	A	0	4	4	1	1	True	3.5	-1	2	2	2	2a	13/2	1/8	False	4	False				False	2	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	2	2	2	False	False	False
28	4	55	1	G	0	4	4	2	1	True	4.0	-1	2	2	2	2a	7	1/4	False	3	False				False	2	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
28	2	70	-2	B	-1	4	4	1	1	True	4.0	-1	2	2	2	2a	7	1/8	False	4	False				False	2	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	-3	-3	-3	True	False	False
30	1	69	3	A	0	4	4	1	1	True	4.5	-1	2	2	2	2a	15/2	1/16	False	4	False				False	2	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	2	2	2	False	False	False
31	1	67	1	G	0	4	4	1	1	True	4.75	-1	2	2	2	2a	31/4	1/16	False	4	False				False	2	i		g	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	1	1	1	0	0	0	True	True	True
32	4	62	2	D	0	4	4	2	1	True	1.0	-1	3	3	3	3a	8	1/4	False	4	True				False	3	V		g	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	1	1	1	1	1	1	True	True	True
32	2	66	6	F	1	4	4	1	1	True	1.0	-1	3	3	3	3a	8	1/8	False	4	True				False	3	V		g	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	1	1	1	5	5	5	True	False	False
34	2	67	1	G	0	4	4	1	1	True	1.5	-1	3	3	3	3a	17/2	1/8	False	4	False				False	3	V		g	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	1	1	1	0	0	0	False	False	False
36	2	62	2	D	0	4	4	2	1	True	2.0	-1	3	3	3	3a	9	1/8	False	4	False				False	3	V		g	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	1	1	1	1	1	1	True	True	True
36	2	69	3	A	0	4	4	1	1	True	2.0	-1	3	3	3	3a	9	1/8	False	4	False				False	3	V		g	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	1	1	1	2	2	2	True	False	False
38	2	62	2	D	0	4	4	2	1	True	2.5	-1	3	3	3	3a	19/2	1/8	False	4	False				False	3	V		g	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	1	1	1	1	1	1	True	True	True
38	2	66	6	F	1	4	4	1	1	True	2.5	-1	3	3	3	3a	19/2	1/8	False	4	False				False	3	V		g	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	1	1	1	5	5	5	True	False	False
40	6	63	-3	E	-1	4	4	2	1	True	3.0	-1	3	3	3	3a	10	3/8	False	4	True				False	4	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	-4	-4	-4	True	True	True
40	2	67	1	G	0	4	4	1	1	True	3.0	-1	3	3	3	3a	10	1/8	False	4	True				False	4	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	0	0	0	True	False	False
42	2	69	3	A	0	4	4	1	1	True	3.5	-1	3	3	3	3a	21/2	1/8	False	4	False				False	4	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	2	2	2	False	False	False
44	2	70	-2	B	-1	4	4	1	1	True	4.0	-1	3	3	3	3a	11	1/8	False	4	False				False	4	VI		g	i		VI	VI					M	True	True	(-4, 0, -3)	()	-4	-4	minor	minor	i	i, minor	VI		i	i	True	VI	VI, minor		VI, minor		VI	1	1	1	-3	-3	-3	True	False	False
46	1	62	2	D	0	4	4	2	1	True	4.5	-1	3	3	3	3a	23/2	1/16	False	4	True				False	5	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	1	1	1	False	False	False
46	2	72	0	C	0	4	4	1	1	True	4.5	-1	3	3	3	3a	23/2	1/8	False	5	True				False	5	iv		g	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	1	1	1	-1	-1	-1	True	True	True
