onset_div	duration_div	continuous_beats	pitch	tpc	step	alter	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	is_harmony_onset	cadence	cadence_type	phraseend	is_phrase_ending	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	globalkey_tpc	localkey_tpc	tonicized_tpc	sic_with_global	sic_with_local	sic_with_tonicized	tpc_is_in_label	tpc_is_root	tpc_is_bass
0.0	24.0	0.0	52	4	E	0.0	2	2	2.0	1.0	1/4	True	0	1.0	1.0	1.0	1a	3	0	True	True			{	False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
0.0	24.0	0.0	67	1	G	0.0	2	2	1.0	2.0	1/4	True	0	1.0	1.0	1.0	1a	4	0	True	True			{	False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
0.0	18.0	0.0	71	5	B	0.0	2	2	1.0	1.0	3/16	True	0	1.0	1.0	1.0	1a	4	0	True	True			{	False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
18.0	6.0	0.375	76	4	E	0.0	2	2	1.0	1.0	1/16	True	0	1.0	1.0	1.0	1a	5	3/4	False	False				False	0	e.i{	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
24.0	0.0	0.5	75	9	D	1.0	2	2	1.0	1.0	0	True	0	1.0	1.0	1.0	1a	5	1	False	True				False	1	#viio6(2)	e	i		#viio6(2)	#vii	o	6	2		o	True	True	(2, -1, 0)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6(2), minor		#vii	4	4	4	5	5	5	False	True	False
24.0	0.0	0.5	78	6	F	1.0	2	2	1.0	1.0	0	True	0	1.0	1.0	1.0	1a	5	1	False	True				False	1	#viio6(2)	e	i		#viio6(2)	#vii	o	6	2		o	True	True	(2, -1, 0)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6(2), minor		#vii	4	4	4	2	2	2	True	False	True
24.0	24.0	0.5	54	6	F	1.0	2	2	2.0	1.0	1/4	True	0	1.0	1.0	1.0	1a	3	1	False	True				False	1	#viio6(2)	e	i		#viio6(2)	#vii	o	6	2		o	True	True	(2, -1, 0)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6(2), minor		#vii	4	4	4	2	2	2	True	False	True
24.0	48.0	0.5	69	3	A	0.0	2	2	1.0	2.0	1/2	True	0	1.0	1.0	1.0	1a	4	1	False	True				False	1	#viio6(2)	e	i		#viio6(2)	#vii	o	6	2		o	True	True	(2, -1, 0)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6(2), minor		#vii	4	4	4	-1	-1	-1	True	False	False
24.0	48.0	0.5	76	4	E	0.0	2	2	1.0	1.0	1/2	True	0	1.0	1.0	1.0	1a	5	1	False	True				False	1	#viio6(2)	e	i		#viio6(2)	#vii	o	6	2		o	True	True	(2, -1, 0)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6(2), minor		#vii	4	4	4	0	0	0	True	False	False
48.0	24.0	1.0	54	6	F	1.0	2	2	2.0	1.0	1/4	True	0	1.0	1.0	1.0	1a	3	2	False	False				False	1	#viio6(2)	e	i		#viio6(2)	#vii	o	6	2		o	True	True	(2, -1, 0)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6(2), minor		#vii	4	4	4	2	2	2	True	False	True
72.0	24.0	1.5	54	6	F	1.0	2	2	2.0	1.0	1/4	True	0	1.0	1.0	1.0	1a	3	3	False	True				False	2	#viio6	e	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	4	4	4	2	2	2	True	False	True
72.0	24.0	1.5	69	3	A	0.0	2	2	1.0	2.0	1/4	True	0	1.0	1.0	1.0	1a	4	3	False	True				False	2	#viio6	e	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	4	4	4	-1	-1	-1	True	False	False
72.0	24.0	1.5	75	9	D	1.0	2	2	1.0	1.0	1/4	True	0	1.0	1.0	1.0	1a	5	3	False	True				False	2	#viio6	e	i		#viio6	#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	4	4	4	5	5	5	True	True	False
96.0	24.0	2.0	51	9	D	1.0	2	2	2.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	3	4	False	True				False	3	V65	e	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	4	4	4	5	5	5	True	False	True
96.0	24.0	2.0	59	5	B	0.0	2	2	2.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	3	4	False	True				False	3	V65	e	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	4	4	4	1	1	1	True	True	False
96.0	24.0	2.0	69	3	A	0.0	2	2	1.0	2.0	1/4	True	0	2.0	2.0	2.0	2a	4	4	False	True				False	3	V65	e	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	4	4	4	-1	-1	-1	True	False	False
96.0	18.0	2.0	71	5	B	0.0	2	2	1.0	1.0	3/16	True	0	2.0	2.0	2.0	2a	4	4	False	True				False	3	V65	e	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	4	4	4	1	1	1	True	True	False
114.0	6.0	2.375	78	6	F	1.0	2	2	1.0	1.0	1/16	True	0	2.0	2.0	2.0	2a	5	19/4	False	False				False	3	V65	e	i		V65	V		65			Mm7	True	True	(5, 2, -1, 1)	()	1	5	minor	minor	i	i, minor	V		i	i	True	V65	V65, minor		V65, minor		V	4	4	4	2	2	2	True	False	False
120.0	24.0	2.5	52	4	E	0.0	2	2	2.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	3	5	False	True				False	4	i(94)	e	i		i(94)	i			94		m	True	True	(0, -1, 1)	(2,)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(94), minor		i	4	4	4	0	0	0	True	True	True
120.0	24.0	2.5	59	5	B	0.0	2	2	2.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	3	5	False	True				False	4	i(94)	e	i		i(94)	i			94		m	True	True	(0, -1, 1)	(2,)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(94), minor		i	4	4	4	1	1	1	True	False	False
120.0	48.0	2.5	69	3	A	0.0	2	2	1.0	2.0	1/2	True	0	2.0	2.0	2.0	2a	4	5	False	True				False	4	i(94)	e	i		i(94)	i			94		m	True	True	(0, -1, 1)	(2,)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(94), minor		i	4	4	4	-1	-1	-1	True	False	False
120.0	48.0	2.5	78	6	F	1.0	2	2	1.0	1.0	1/2	True	0	2.0	2.0	2.0	2a	5	5	False	True				False	4	i(94)	e	i		i(94)	i			94		m	True	True	(0, -1, 1)	(2,)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(94), minor		i	4	4	4	2	2	2	False	False	False
144.0	24.0	3.0	52	4	E	0.0	2	2	2.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	3	6	False	False				False	4	i(94)	e	i		i(94)	i			94		m	True	True	(0, -1, 1)	(2,)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(94), minor		i	4	4	4	0	0	0	True	True	True
144.0	24.0	3.0	59	5	B	0.0	2	2	2.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	3	6	False	False				False	4	i(94)	e	i		i(94)	i			94		m	True	True	(0, -1, 1)	(2,)	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i(94), minor		i	4	4	4	1	1	1	True	False	False
168.0	24.0	3.5	52	4	E	0.0	2	2	2.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	3	7	False	True				False	5	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
168.0	24.0	3.5	59	5	B	0.0	2	2	2.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	3	7	False	True				False	5	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	1	1	1	True	False	False
168.0	24.0	3.5	67	1	G	0.0	2	2	1.0	2.0	1/4	True	0	2.0	2.0	2.0	2a	4	7	False	True				False	5	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
168.0	24.0	3.5	76	4	E	0.0	2	2	1.0	1.0	1/4	True	0	2.0	2.0	2.0	2a	5	7	False	True				False	5	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
192.0	24.0	4.0	64	4	E	0.0	2	2	1.0	2.0	1/4	True	0	3.0	3.0	3.0	3a	4	8	False	False				False	5	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	0	0	0	True	True	True
204.0	12.0	4.25	79	1	G	0.0	2	2	1.0	1.0	1/8	True	0	3.0	3.0	3.0	3a	5	17/2	False	False				False	5	i	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	4	4	4	-3	-3	-3	True	False	False
216.0	0.0	4.5	78	6	F	1.0	2	2	1.0	1.0	0	True	0	3.0	3.0	3.0	3a	5	9	False	True				False	6	v6	e	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	4	4	4	2	2	2	True	False	False
